"Statistic Label","Quarter","State","UNIT","VALUE"
"Marriages Registered","1976Q2","State","Number","4430"
"Marriages Registered","1976Q3","State","Number","7549"
"Marriages Registered","1976Q4","State","Number","4353"
"Marriages Registered","1977Q1","State","Number","4632"
"Marriages Registered","1977Q2","State","Number","4145"
"Marriages Registered","1977Q3","State","Number","7308"
"Marriages Registered","1977Q4","State","Number","3931"
"Marriages Registered","1978Q1","State","Number","4310"
"Marriages Registered","1978Q2","State","Number","4576"
"Marriages Registered","1978Q3","State","Number","7495"
"Marriages Registered","1978Q4","State","Number","4803"
"Marriages Registered","1979Q1","State","Number","3987"
"Marriages Registered","1979Q2","State","Number","4248"
"Marriages Registered","1979Q3","State","Number","7572"
"Marriages Registered","1979Q4","State","Number","4999"
"Marriages Registered","1980Q1","State","Number","4855"
"Marriages Registered","1980Q2","State","Number","4782"
"Marriages Registered","1980Q3","State","Number","7632"
"Marriages Registered","1980Q4","State","Number","4523"
"Marriages Registered","1981Q1","State","Number","4117"
"Marriages Registered","1981Q2","State","Number","4754"
"Marriages Registered","1981Q3","State","Number","7346"
"Marriages Registered","1981Q4","State","Number","4395"
"Marriages Registered","1982Q1","State","Number","4183"
"Marriages Registered","1982Q2","State","Number","4539"
"Marriages Registered","1982Q3","State","Number","7255"
"Marriages Registered","1982Q4","State","Number","4247"
"Marriages Registered","1983Q1","State","Number","4088"
"Marriages Registered","1983Q2","State","Number","4614"
"Marriages Registered","1983Q3","State","Number","6607"
"Marriages Registered","1983Q4","State","Number","4158"
"Marriages Registered","1984Q1","State","Number","2949"
"Marriages Registered","1984Q2","State","Number","4237"
"Marriages Registered","1984Q3","State","Number","7351"
"Marriages Registered","1984Q4","State","Number","3976"
"Marriages Registered","1985Q1","State","Number","2470"
"Marriages Registered","1985Q2","State","Number","4368"
"Marriages Registered","1985Q3","State","Number","7998"
"Marriages Registered","1985Q4","State","Number","3955"
"Marriages Registered","1986Q1","State","Number","2158"
"Marriages Registered","1986Q2","State","Number","4406"
"Marriages Registered","1986Q3","State","Number","8002"
"Marriages Registered","1986Q4","State","Number","4007"
"Marriages Registered","1987Q1","State","Number","2134"
"Marriages Registered","1987Q2","State","Number","4222"
"Marriages Registered","1987Q3","State","Number","8002"
"Marriages Registered","1987Q4","State","Number","3951"
"Marriages Registered","1988Q1","State","Number","2164"
"Marriages Registered","1988Q2","State","Number","4287"
"Marriages Registered","1988Q3","State","Number","8034"
"Marriages Registered","1988Q4","State","Number","3897"
"Marriages Registered","1989Q1","State","Number","2049"
"Marriages Registered","1989Q2","State","Number","4809"
"Marriages Registered","1989Q3","State","Number","8509"
"Marriages Registered","1989Q4","State","Number","2807"
"Marriages Registered","1990Q1","State","Number","2172"
"Marriages Registered","1990Q2","State","Number","4278"
"Marriages Registered","1990Q3","State","Number","7758"
"Marriages Registered","1990Q4","State","Number","3630"
"Marriages Registered","1991Q1","State","Number","2023"
"Marriages Registered","1991Q2","State","Number","4000"
"Marriages Registered","1991Q3","State","Number","7752"
"Marriages Registered","1991Q4","State","Number","3666"
"Marriages Registered","1992Q1","State","Number","1594"
"Marriages Registered","1992Q2","State","Number","3427"
"Marriages Registered","1992Q3","State","Number","7913"
"Marriages Registered","1992Q4","State","Number","3702"
"Marriages Registered","1993Q1","State","Number","1885"
"Marriages Registered","1993Q2","State","Number","3936"
"Marriages Registered","1993Q3","State","Number","7608"
"Marriages Registered","1993Q4","State","Number","3395"
"Marriages Registered","1994Q1","State","Number","1725"
"Marriages Registered","1994Q2","State","Number","4056"
"Marriages Registered","1994Q3","State","Number","7361"
"Marriages Registered","1994Q4","State","Number","3479"
"Marriages Registered","1995Q1","State","Number","1751"
"Marriages Registered","1995Q2","State","Number","3711"
"Marriages Registered","1995Q3","State","Number","6451"
"Marriages Registered","1995Q4","State","Number","3691"
"Marriages Registered","1996Q1","State","Number","1974"
"Marriages Registered","1996Q2","State","Number","3653"
"Marriages Registered","1996Q3","State","Number","6868"
"Marriages Registered","1996Q4","State","Number","3679"
"Marriages Registered","1997Q1","State","Number","1665"
"Marriages Registered","1997Q2","State","Number","3577"
"Marriages Registered","1997Q3","State","Number","7011"
"Marriages Registered","1997Q4","State","Number","3378"
"Marriages Registered","1998Q1","State","Number","1642"
"Marriages Registered","1998Q2","State","Number","3689"
"Marriages Registered","1998Q3","State","Number","7530"
"Marriages Registered","1998Q4","State","Number","3922"
"Marriages Registered","1999Q1","State","Number","2064"
"Marriages Registered","1999Q2","State","Number","4577"
"Marriages Registered","1999Q3","State","Number","7342"
"Marriages Registered","1999Q4","State","Number","4543"
"Marriages Registered","2000Q1","State","Number","2200"
"Marriages Registered","2000Q2","State","Number","4670"
"Marriages Registered","2000Q3","State","Number","7593"
"Marriages Registered","2000Q4","State","Number","4705"
"Marriages Registered","2001Q1","State","Number","2168"
"Marriages Registered","2001Q2","State","Number","4533"
"Marriages Registered","2001Q3","State","Number","7557"
"Marriages Registered","2001Q4","State","Number","4988"
"Marriages Registered","2002Q1","State","Number","2338"
"Marriages Registered","2002Q2","State","Number","4994"
"Marriages Registered","2002Q3","State","Number","7934"
"Marriages Registered","2002Q4","State","Number","4781"
"Marriages Registered","2003Q1","State","Number","2571"
"Marriages Registered","2003Q2","State","Number","4827"
"Marriages Registered","2003Q3","State","Number","7996"
"Marriages Registered","2003Q4","State","Number","4908"
"Marriages Registered","2004Q1","State","Number","2676"
"Marriages Registered","2004Q2","State","Number","4719"
"Marriages Registered","2004Q3","State","Number","8168"
"Marriages Registered","2004Q4","State","Number","5056"
"Marriages Registered","2005Q1","State","Number","2909"
"Marriages Registered","2005Q2","State","Number","5130"
"Marriages Registered","2005Q3","State","Number","8220"
"Marriages Registered","2005Q4","State","Number","4464"
"Marriages Registered","2006Q1","State","Number","3267"
"Marriages Registered","2006Q2","State","Number","5094"
"Marriages Registered","2006Q3","State","Number","8341"
"Marriages Registered","2006Q4","State","Number","4139"
"Marriages Registered","2007Q1","State","Number","3401"
"Marriages Registered","2007Q2","State","Number","5558"
"Marriages Registered","2007Q3","State","Number","8949"
"Marriages Registered","2007Q4","State","Number","4848"
"Marriages Registered","2008Q1","State","Number","3228"
"Marriages Registered","2008Q2","State","Number","5351"
"Marriages Registered","2008Q3","State","Number","8751"
"Marriages Registered","2008Q4","State","Number","4857"
"Marriages Registered","2009Q1","State","Number","3450"
"Marriages Registered","2009Q2","State","Number","5432"
"Marriages Registered","2009Q3","State","Number","8047"
"Marriages Registered","2009Q4","State","Number","4698"
"Marriages Registered","2010Q1","State","Number","3372"
"Marriages Registered","2010Q2","State","Number","4993"
"Marriages Registered","2010Q3","State","Number","7774"
"Marriages Registered","2010Q4","State","Number","4455"
"Marriages Registered","2011Q1","State","Number","3047"
"Marriages Registered","2011Q2","State","Number","5015"
"Marriages Registered","2011Q3","State","Number","7532"
"Marriages Registered","2011Q4","State","Number","4261"
"Marriages Registered","2012Q1","State","Number","2812"
"Marriages Registered","2012Q2","State","Number","5411"
"Marriages Registered","2012Q3","State","Number","7712"
"Marriages Registered","2012Q4","State","Number","4778"
"Marriages Registered","2013Q1","State","Number","3642"
"Marriages Registered","2013Q2","State","Number","5444"
"Marriages Registered","2013Q3","State","Number","7760"
"Marriages Registered","2013Q4","State","Number","4924"
"Marriages Registered","2014Q1","State","Number","3624"
"Marriages Registered","2014Q2","State","Number","5567"
"Marriages Registered","2014Q3","State","Number","8048"
"Marriages Registered","2014Q4","State","Number","4956"
"Marriages Registered","2015Q1","State","Number","3665"
"Marriages Registered","2015Q2","State","Number","5516"
"Marriages Registered","2015Q3","State","Number","8248"
"Marriages Registered","2015Q4","State","Number","4857"
"Marriages Registered","2016Q1","State","Number","3539"
"Marriages Registered","2016Q2","State","Number","5707"
"Marriages Registered","2016Q3","State","Number","8440"
"Marriages Registered","2016Q4","State","Number","5073"
"Marriages Registered","2017Q1","State","Number","3481"
"Marriages Registered","2017Q2","State","Number","5616"
"Marriages Registered","2017Q3","State","Number","7945"
"Marriages Registered","2017Q4","State","Number","5049"
"Marriages Registered","2018Q1","State","Number","3351"
"Marriages Registered","2018Q2","State","Number","5407"
"Marriages Registered","2018Q3","State","Number","7438"
"Marriages Registered","2018Q4","State","Number","4905"
"Marriages Registered","2019Q1","State","Number","3235"
"Marriages Registered","2019Q2","State","Number","5293"
"Marriages Registered","2019Q3","State","Number","7328"
"Marriages Registered","2019Q4","State","Number","4596"
"Marriages Registered","2020Q1","State","Number","2886"
"Marriages Registered","2020Q2","State","Number","304"
"Marriages Registered","2020Q3","State","Number","3080"
"Marriages Registered","2020Q4","State","Number","3263"
"Marriages Registered","2021Q1","State","Number","2265"
"Marriages Registered","2021Q2","State","Number","2558"
"Marriages Registered","2021Q3","State","Number","7022"
"Marriages Registered","2021Q4","State","Number","5385"
"Marriages Registered","2022Q1","State","Number","3205"
"Marriages Registered","2022Q2","State","Number","6651"
"Marriages Registered","2022Q3","State","Number","8046"
"Marriages Registered","2022Q4","State","Number","5159"
"Marriages Registered","2023Q1","State","Number","3425"
"Marriage Rate Registered per 1000 Estimated Population","1960Q1","State","Number","4.2"
"Marriage Rate Registered per 1000 Estimated Population","1960Q2","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","1960Q3","State","Number","8.3"
"Marriage Rate Registered per 1000 Estimated Population","1960Q4","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","1961Q1","State","Number","3.1"
"Marriage Rate Registered per 1000 Estimated Population","1961Q2","State","Number","5.6"
"Marriage Rate Registered per 1000 Estimated Population","1961Q3","State","Number","8.3"
"Marriage Rate Registered per 1000 Estimated Population","1961Q4","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","1962Q1","State","Number","3.9"
"Marriage Rate Registered per 1000 Estimated Population","1962Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1962Q3","State","Number","8.7"
"Marriage Rate Registered per 1000 Estimated Population","1962Q4","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","1963Q1","State","Number","3.8"
"Marriage Rate Registered per 1000 Estimated Population","1963Q2","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","1963Q3","State","Number","8.4"
"Marriage Rate Registered per 1000 Estimated Population","1963Q4","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1964Q1","State","Number","3.4"
"Marriage Rate Registered per 1000 Estimated Population","1964Q2","State","Number","5.7"
"Marriage Rate Registered per 1000 Estimated Population","1964Q3","State","Number","9.8"
"Marriage Rate Registered per 1000 Estimated Population","1964Q4","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1965Q1","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1965Q2","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","1965Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1965Q4","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1966Q1","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","1966Q2","State","Number","4.6"
"Marriage Rate Registered per 1000 Estimated Population","1966Q3","State","Number","8.8"
"Marriage Rate Registered per 1000 Estimated Population","1966Q4","State","Number","5"
"Marriage Rate Registered per 1000 Estimated Population","1967Q1","State","Number","4.5"
"Marriage Rate Registered per 1000 Estimated Population","1967Q2","State","Number","5.6"
"Marriage Rate Registered per 1000 Estimated Population","1967Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1967Q4","State","Number","5.4"
"Marriage Rate Registered per 1000 Estimated Population","1968Q1","State","Number","5.3"
"Marriage Rate Registered per 1000 Estimated Population","1968Q2","State","Number","5.4"
"Marriage Rate Registered per 1000 Estimated Population","1968Q3","State","Number","9.6"
"Marriage Rate Registered per 1000 Estimated Population","1968Q4","State","Number","5.6"
"Marriage Rate Registered per 1000 Estimated Population","1969Q1","State","Number","5.8"
"Marriage Rate Registered per 1000 Estimated Population","1969Q2","State","Number","5.8"
"Marriage Rate Registered per 1000 Estimated Population","1969Q3","State","Number","10.3"
"Marriage Rate Registered per 1000 Estimated Population","1969Q4","State","Number","5.9"
"Marriage Rate Registered per 1000 Estimated Population","1970Q1","State","Number","5.1"
"Marriage Rate Registered per 1000 Estimated Population","1970Q2","State","Number","6.7"
"Marriage Rate Registered per 1000 Estimated Population","1970Q3","State","Number","10.3"
"Marriage Rate Registered per 1000 Estimated Population","1970Q4","State","Number","6.2"
"Marriage Rate Registered per 1000 Estimated Population","1971Q1","State","Number","6"
"Marriage Rate Registered per 1000 Estimated Population","1971Q2","State","Number","6.7"
"Marriage Rate Registered per 1000 Estimated Population","1971Q3","State","Number","9.1"
"Marriage Rate Registered per 1000 Estimated Population","1971Q4","State","Number","6.6"
"Marriage Rate Registered per 1000 Estimated Population","1972Q1","State","Number","6.3"
"Marriage Rate Registered per 1000 Estimated Population","1972Q2","State","Number","6.6"
"Marriage Rate Registered per 1000 Estimated Population","1972Q3","State","Number","10.1"
"Marriage Rate Registered per 1000 Estimated Population","1972Q4","State","Number","6.5"
"Marriage Rate Registered per 1000 Estimated Population","1973Q1","State","Number","6.6"
"Marriage Rate Registered per 1000 Estimated Population","1973Q2","State","Number","6.5"
"Marriage Rate Registered per 1000 Estimated Population","1973Q3","State","Number","10.2"
"Marriage Rate Registered per 1000 Estimated Population","1973Q4","State","Number","6.4"
"Marriage Rate Registered per 1000 Estimated Population","1974Q1","State","Number","6.5"
"Marriage Rate Registered per 1000 Estimated Population","1974Q2","State","Number","6.2"
"Marriage Rate Registered per 1000 Estimated Population","1974Q3","State","Number","10.2"
"Marriage Rate Registered per 1000 Estimated Population","1974Q4","State","Number","6.7"
"Marriage Rate Registered per 1000 Estimated Population","1975Q1","State","Number","5.7"
"Marriage Rate Registered per 1000 Estimated Population","1975Q2","State","Number","5.9"
"Marriage Rate Registered per 1000 Estimated Population","1975Q3","State","Number","9.3"
"Marriage Rate Registered per 1000 Estimated Population","1975Q4","State","Number","6.4"
"Marriage Rate Registered per 1000 Estimated Population","1976Q1","State","Number","5.3"
"Marriage Rate Registered per 1000 Estimated Population","1976Q2","State","Number","5.5"
"Marriage Rate Registered per 1000 Estimated Population","1976Q3","State","Number","9.4"
"Marriage Rate Registered per 1000 Estimated Population","1976Q4","State","Number","5.4"
"Marriage Rate Registered per 1000 Estimated Population","1977Q1","State","Number","5.7"
"Marriage Rate Registered per 1000 Estimated Population","1977Q2","State","Number","5.1"
"Marriage Rate Registered per 1000 Estimated Population","1977Q3","State","Number","8.9"
"Marriage Rate Registered per 1000 Estimated Population","1977Q4","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1978Q1","State","Number","5.2"
"Marriage Rate Registered per 1000 Estimated Population","1978Q2","State","Number","5.5"
"Marriage Rate Registered per 1000 Estimated Population","1978Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1978Q4","State","Number","5.8"
"Marriage Rate Registered per 1000 Estimated Population","1979Q1","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","1979Q2","State","Number","5"
"Marriage Rate Registered per 1000 Estimated Population","1979Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1979Q4","State","Number","5.9"
"Marriage Rate Registered per 1000 Estimated Population","1980Q1","State","Number","5.7"
"Marriage Rate Registered per 1000 Estimated Population","1980Q2","State","Number","5.6"
"Marriage Rate Registered per 1000 Estimated Population","1980Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1980Q4","State","Number","5.3"
"Marriage Rate Registered per 1000 Estimated Population","1981Q1","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1981Q2","State","Number","5.5"
"Marriage Rate Registered per 1000 Estimated Population","1981Q3","State","Number","8.5"
"Marriage Rate Registered per 1000 Estimated Population","1981Q4","State","Number","5.1"
"Marriage Rate Registered per 1000 Estimated Population","1982Q1","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1982Q2","State","Number","5.2"
"Marriage Rate Registered per 1000 Estimated Population","1982Q3","State","Number","8.3"
"Marriage Rate Registered per 1000 Estimated Population","1982Q4","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","1983Q1","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","1983Q2","State","Number","5.3"
"Marriage Rate Registered per 1000 Estimated Population","1983Q3","State","Number","7.5"
"Marriage Rate Registered per 1000 Estimated Population","1983Q4","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","1984Q1","State","Number","3.3"
"Marriage Rate Registered per 1000 Estimated Population","1984Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1984Q3","State","Number","8.3"
"Marriage Rate Registered per 1000 Estimated Population","1984Q4","State","Number","4.5"
"Marriage Rate Registered per 1000 Estimated Population","1985Q1","State","Number","2.8"
"Marriage Rate Registered per 1000 Estimated Population","1985Q2","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","1985Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1985Q4","State","Number","4.5"
"Marriage Rate Registered per 1000 Estimated Population","1986Q1","State","Number","2.4"
"Marriage Rate Registered per 1000 Estimated Population","1986Q2","State","Number","5"
"Marriage Rate Registered per 1000 Estimated Population","1986Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1986Q4","State","Number","4.5"
"Marriage Rate Registered per 1000 Estimated Population","1987Q1","State","Number","2.4"
"Marriage Rate Registered per 1000 Estimated Population","1987Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1987Q3","State","Number","9"
"Marriage Rate Registered per 1000 Estimated Population","1987Q4","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","1988Q1","State","Number","2.4"
"Marriage Rate Registered per 1000 Estimated Population","1988Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1988Q3","State","Number","9.1"
"Marriage Rate Registered per 1000 Estimated Population","1988Q4","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","1989Q1","State","Number","2.3"
"Marriage Rate Registered per 1000 Estimated Population","1989Q2","State","Number","5.5"
"Marriage Rate Registered per 1000 Estimated Population","1989Q3","State","Number","9.7"
"Marriage Rate Registered per 1000 Estimated Population","1989Q4","State","Number","3.2"
"Marriage Rate Registered per 1000 Estimated Population","1990Q1","State","Number","2.5"
"Marriage Rate Registered per 1000 Estimated Population","1990Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","1990Q3","State","Number","8.8"
"Marriage Rate Registered per 1000 Estimated Population","1990Q4","State","Number","4.1"
"Marriage Rate Registered per 1000 Estimated Population","1991Q1","State","Number","2.3"
"Marriage Rate Registered per 1000 Estimated Population","1991Q2","State","Number","4.5"
"Marriage Rate Registered per 1000 Estimated Population","1991Q3","State","Number","8.8"
"Marriage Rate Registered per 1000 Estimated Population","1991Q4","State","Number","4.2"
"Marriage Rate Registered per 1000 Estimated Population","1992Q1","State","Number","1.8"
"Marriage Rate Registered per 1000 Estimated Population","1992Q2","State","Number","3.9"
"Marriage Rate Registered per 1000 Estimated Population","1992Q3","State","Number","8.9"
"Marriage Rate Registered per 1000 Estimated Population","1992Q4","State","Number","4.2"
"Marriage Rate Registered per 1000 Estimated Population","1993Q1","State","Number","2.1"
"Marriage Rate Registered per 1000 Estimated Population","1993Q2","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","1993Q3","State","Number","8.5"
"Marriage Rate Registered per 1000 Estimated Population","1993Q4","State","Number","3.8"
"Marriage Rate Registered per 1000 Estimated Population","1994Q1","State","Number","1.9"
"Marriage Rate Registered per 1000 Estimated Population","1994Q2","State","Number","4.5"
"Marriage Rate Registered per 1000 Estimated Population","1994Q3","State","Number","8.2"
"Marriage Rate Registered per 1000 Estimated Population","1994Q4","State","Number","3.9"
"Marriage Rate Registered per 1000 Estimated Population","1995Q1","State","Number","2"
"Marriage Rate Registered per 1000 Estimated Population","1995Q2","State","Number","4.1"
"Marriage Rate Registered per 1000 Estimated Population","1995Q3","State","Number","7.2"
"Marriage Rate Registered per 1000 Estimated Population","1995Q4","State","Number","4.1"
"Marriage Rate Registered per 1000 Estimated Population","1996Q1","State","Number","2.2"
"Marriage Rate Registered per 1000 Estimated Population","1996Q2","State","Number","4"
"Marriage Rate Registered per 1000 Estimated Population","1996Q3","State","Number","7.6"
"Marriage Rate Registered per 1000 Estimated Population","1996Q4","State","Number","4.1"
"Marriage Rate Registered per 1000 Estimated Population","1997Q1","State","Number","1.8"
"Marriage Rate Registered per 1000 Estimated Population","1997Q2","State","Number","3.9"
"Marriage Rate Registered per 1000 Estimated Population","1997Q3","State","Number","7.7"
"Marriage Rate Registered per 1000 Estimated Population","1997Q4","State","Number","3.7"
"Marriage Rate Registered per 1000 Estimated Population","1998Q1","State","Number","1.8"
"Marriage Rate Registered per 1000 Estimated Population","1998Q2","State","Number","4"
"Marriage Rate Registered per 1000 Estimated Population","1998Q3","State","Number","8.1"
"Marriage Rate Registered per 1000 Estimated Population","1998Q4","State","Number","4.2"
"Marriage Rate Registered per 1000 Estimated Population","1999Q1","State","Number","2.2"
"Marriage Rate Registered per 1000 Estimated Population","1999Q2","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","1999Q3","State","Number","7.8"
"Marriage Rate Registered per 1000 Estimated Population","1999Q4","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","2000Q1","State","Number","2.4"
"Marriage Rate Registered per 1000 Estimated Population","2000Q2","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","2000Q3","State","Number","8"
"Marriage Rate Registered per 1000 Estimated Population","2000Q4","State","Number","5"
"Marriage Rate Registered per 1000 Estimated Population","2001Q1","State","Number","2.3"
"Marriage Rate Registered per 1000 Estimated Population","2001Q2","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","2001Q3","State","Number","7.9"
"Marriage Rate Registered per 1000 Estimated Population","2001Q4","State","Number","5.2"
"Marriage Rate Registered per 1000 Estimated Population","2002Q1","State","Number","2.4"
"Marriage Rate Registered per 1000 Estimated Population","2002Q2","State","Number","5.1"
"Marriage Rate Registered per 1000 Estimated Population","2002Q3","State","Number","8.1"
"Marriage Rate Registered per 1000 Estimated Population","2002Q4","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","2003Q1","State","Number","2.6"
"Marriage Rate Registered per 1000 Estimated Population","2003Q2","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","2003Q3","State","Number","8"
"Marriage Rate Registered per 1000 Estimated Population","2003Q4","State","Number","4.9"
"Marriage Rate Registered per 1000 Estimated Population","2004Q1","State","Number","2.7"
"Marriage Rate Registered per 1000 Estimated Population","2004Q2","State","Number","4.7"
"Marriage Rate Registered per 1000 Estimated Population","2004Q3","State","Number","8.1"
"Marriage Rate Registered per 1000 Estimated Population","2004Q4","State","Number","5"
"Marriage Rate Registered per 1000 Estimated Population","2005Q1","State","Number","2.9"
"Marriage Rate Registered per 1000 Estimated Population","2005Q2","State","Number","5"
"Marriage Rate Registered per 1000 Estimated Population","2005Q3","State","Number","8"
"Marriage Rate Registered per 1000 Estimated Population","2005Q4","State","Number","4.3"
"Marriage Rate Registered per 1000 Estimated Population","2006Q1","State","Number","3.2"
"Marriage Rate Registered per 1000 Estimated Population","2006Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","2006Q3","State","Number","7.9"
"Marriage Rate Registered per 1000 Estimated Population","2006Q4","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","2007Q1","State","Number","3.2"
"Marriage Rate Registered per 1000 Estimated Population","2007Q2","State","Number","5.1"
"Marriage Rate Registered per 1000 Estimated Population","2007Q3","State","Number","8.2"
"Marriage Rate Registered per 1000 Estimated Population","2007Q4","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","2008Q1","State","Number","3"
"Marriage Rate Registered per 1000 Estimated Population","2008Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","2008Q3","State","Number","7.8"
"Marriage Rate Registered per 1000 Estimated Population","2008Q4","State","Number","4.3"
"Marriage Rate Registered per 1000 Estimated Population","2009Q1","State","Number","3.1"
"Marriage Rate Registered per 1000 Estimated Population","2009Q2","State","Number","4.8"
"Marriage Rate Registered per 1000 Estimated Population","2009Q3","State","Number","7.1"
"Marriage Rate Registered per 1000 Estimated Population","2009Q4","State","Number","4.1"
"Marriage Rate Registered per 1000 Estimated Population","2010Q1","State","Number","3"
"Marriage Rate Registered per 1000 Estimated Population","2010Q2","State","Number","4.4"
"Marriage Rate Registered per 1000 Estimated Population","2010Q3","State","Number","6.8"
